campanya,municipi,cultiu,ha,parcels
2020,CAMBRILS,"ENDÍVIA, ESCAROLA I XICOIRA",2.8654,2
2020,CAMBRILS,MENTA,2.799,3
2020,CAMBRILS,RAY-GRASS,2.389,5
2020,CAMBRILS,CORIANDRE,2.3644,2
2020,CAMBRILS,BLEDA,2.1272,2
2020,CAMBRILS,API,2.113,2
2020,CAMBRILS,RAVE,2.067,1
2020,CAMBRILS,ESPECIES AROMÀTIQUES HERBÀCI,1.8433,2
2020,CAMBRILS,ALBERGÍNIA,1.6296,5
2020,CAMBRILS,ALTRES FRUITERS,1.5449,25
2020,CAMBRILS,COGOMBRE,1.5062,3
2020,CAMBRILS,ALFÀBREGA,1.3507,1
2020,CAMBRILS,FAVES I FAVONS NO SIE,1.3346,3
2020,CAMBRILS,ALFALS SIE,0.9821,3
2020,CAMBRILS,PRUNERES,0.7532,7
2020,CAMBRILS,MONGETA SIE,0.7407,1
2020,CAMBRILS,MADUIXA,0.5318,1
2020,CAMBRILS,MANDARINER HÍBRID,0.5294,1
2020,CAMBRILS,ALBERCOQUERS,0.3419,4
2020,CAMBRILS,LLIMONER,0.3404,3
2020,CAMBRILS,PÈSOLS NO SIE,0.2931,1
2020,CAMBRILS,MAGRANER,0.2773,3
2020,CAMBRILS,PERERES,0.26,3
2020,CAMBRILS,HORTA,0.2075,3
2020,CAMBRILS,FIGUERA,0.1261,1
2020,CAMBRILS,NECTARINS,0.1064,1
2020,CAMBRILS,CIRERERS,0.0822,1
2020,CAMBRILS,POMERES,0.0784,1
2020,CAMBRILS,NESPRER,0.0232,1
2020,CAPAFONTS,AVELLANER,29.4073,42
2020,CAPAFONTS,CIVADA,2.2656,3
2020,CAPAFONTS,AMETLLERS,2.0998,4
2020,CAPAFONTS,GUARET NO SIE/ SUP. LLIURE SE*,1.2814,6
2020,CAPAFONTS,POMERES,0.8654,1
2020,CAPAFONTS,VINYES,0.4864,4
2020,CAPAFONTS,PATATA,0.4044,1
2020,CAPAFONTS,HORTA,0.271,6
2020,CAPAFONTS,ORDI,0.2325,1
2020,CASTELLVELL DEL CAMP,AVELLANER,23.5882,24
2020,CASTELLVELL DEL CAMP,OLIVERES,22.3785,61
2020,CASTELLVELL DEL CAMP,AMETLLERS,4.13,13
2020,CASTELLVELL DEL CAMP,GUARET NO SIE/ SUP. LLIURE SE*,0.5594,2
2020,CASTELLVELL DEL CAMP,TARONGER,0.4133,1
2020,CASTELLVELL DEL CAMP,GARROFER,0.3702,6
2020,CASTELLVELL DEL CAMP,TOMÀQUET,0.0257,1
2020,COLLDEJOU,AVELLANER,35.0911,51
2020,COLLDEJOU,OLIVERES,3.3193,22
2020,COLLDEJOU,AMETLLERS,1.6521,3
2020,COLLDEJOU,GUARET NO SIE/ SUP. LLIURE SE*,0.9952,6
2020,COLLDEJOU,ENCIAM,0.3472,4
2020,COLLDEJOU,GARLANDA NO SIE,0.3116,1
2020,COLLDEJOU,ALTRES FRUITERS,0.0724,1
2020,COLLDEJOU,PERERES,0.0229,1
2020,COLLDEJOU,HORTA,0.018,1
2020,DUESAIGÜES,OLIVERES,14.3389,57
2020,DUESAIGÜES,AVELLANER,13.2017,30
2020,DUESAIGÜES,AMETLLERS,1.741,10
2020,DUESAIGÜES,GUARET NO SIE/ SUP. LLIURE SE*,0.5849,9
2020,DUESAIGÜES,CIRERERS,0.5003,1
2020,DUESAIGÜES,TOMÀQUET,0.4323,2
2020,DUESAIGÜES,CARABASSA,0.2589,2
2020,DUESAIGÜES,GARROFER,0.2146,2
2020,DUESAIGÜES,PRESSEGUERS,0.1885,2
2020,DUESAIGÜES,TARONGER,0.1563,1
2020,DUESAIGÜES,KIWI,0.1143,1
2020,DUESAIGÜES,VINYES,0.1042,1
2020,DUESAIGÜES,HORTA,0.0899,1
2020,DUESAIGÜES,ALTRES FRUITERS,0.0486,1
2020,DUESAIGÜES,PRUNERES,0.0375,1
2020,DUESAIGÜES,CARXOFA,0.0169,1
2020,FEBRO (LA),AVELLANER,12.0738,19
2020,FEBRO (LA),ORDI,3.5197,5
2020,FEBRO (LA),TÒFONA,0.6998,1
2020,FEBRO (LA),GUARET NO SIE/ SUP. LLIURE SE*,0.1377,2
2020,MASPUJOLS,OLIVERES,24.3098,80
2020,MASPUJOLS,AVELLANER,18.4357,39
2020,MASPUJOLS,AMETLLERS,9.2127,23
2020,MASPUJOLS,GARROFER,2.9394,18
2020,MASPUJOLS,ALBERCOQUERS,1.3964,4
2020,MASPUJOLS,BLAT TOU,0.849,1
2020,MASPUJOLS,NOGUERES,0.6079,3
2020,MASPUJOLS,FIGUERA,0.5155,3
2020,MASPUJOLS,GUARET NO SIE/ SUP. LLIURE SE*,0.3815,6
2020,MASPUJOLS,TÒFONA,0.1604,1
2020,MASPUJOLS,ENCIAM,0.0779,1
2020,MASPUJOLS,HORTA,0.0618,1
2020,MASPUJOLS,CIRERERS,0.039,1
2020,MASPUJOLS,VINYES,0.0246,1
2020,MASPUJOLS,ALTRES FRUITERS,0.0223,1
2020,MASPUJOLS,TARONGER,0.0171,1
2020,MONT-ROIG DEL CAMP,OLIVERES,684.0631,801
2020,MONT-ROIG DEL CAMP,GARROFER,187.9848,525
2020,MONT-ROIG DEL CAMP,ENCIAM,85.4416,40
2020,MONT-ROIG DEL CAMP,COL I COLIFLOR,60.9344,34
2020,MONT-ROIG DEL CAMP,GUARET NO SIE/ SUP. LLIURE SE*,44.014,70
2020,MONT-ROIG DEL CAMP,AMETLLERS,43.4174,69
2020,MONT-ROIG DEL CAMP,ORDI,39.5309,26
2020,MONT-ROIG DEL CAMP,TARONGER,38.4391,31
2020,MONT-ROIG DEL CAMP,JULIVERT,36.5898,26
2020,MONT-ROIG DEL CAMP,PATATA,35.2907,25
2020,MONT-ROIG DEL CAMP,"CEBES, CALÇOTS, PORROS I ALLS",30.488,21
2020,MONT-ROIG DEL CAMP,FONOLL,28.9029,15
2020,MONT-ROIG DEL CAMP,CARXOFA,26.8063,19
2020,MONT-ROIG DEL CAMP,MONGETA NO SIE,25.49,12
2020,MONT-ROIG DEL CAMP,PÈSOLS SIE,21.3586,8
2020,MONT-ROIG DEL CAMP,BLAT TOU,19.4062,16
2020,MONT-ROIG DEL CAMP,LLIMONER,18.918,4
2020,MONT-ROIG DEL CAMP,FAVES I FAVONS NO SIE,13.9083,9
2020,MONT-ROIG DEL CAMP,CIVADA,13.1563,11
2020,MONT-ROIG DEL CAMP,GUARET SIE/ SUP. LLIURE SEMBRA,11.8454,7
2020,MONT-ROIG DEL CAMP,CORIANDRE,9.4808,5
2020,MONT-ROIG DEL CAMP,AVELLANER,9.216,7
2020,MONT-ROIG DEL CAMP,API,9.1637,6
2020,MONT-ROIG DEL CAMP,CLEMENTINA,8.2026,10
2020,MONT-ROIG DEL CAMP,ESPINAC,7.372,7
2020,MONT-ROIG DEL CAMP,PÈSOLS NO SIE,7.1615,7
2020,MONT-ROIG DEL CAMP,VINYES,6.7624,3
2020,MONT-ROIG DEL CAMP,SÍNDRIA,6.166,2
2020,MONT-ROIG DEL CAMP,"ENDÍVIA, ESCAROLA I XICOIRA",4.3378,3
2020,MONT-ROIG DEL CAMP,ESPECIES AROMÀTIQUES HERBÀCI,4.0854,4
2020,MONT-ROIG DEL CAMP,MENTA,3.9694,4
2020,MONT-ROIG DEL CAMP,MELÓ,3.097,3
2020,MONT-ROIG DEL CAMP,POMERES,2.6709,3
2020,MONT-ROIG DEL CAMP,POMELO O ARANJA,1.4284,1
2020,MONT-ROIG DEL CAMP,FAVES I FAVONS SIE,1.4171,1
2020,MONT-ROIG DEL CAMP,CARABASSA,0.6927,1
2020,MONT-ROIG DEL CAMP,TOMÀQUET,0.6014,3
2020,MONT-ROIG DEL CAMP,ALTRES FRUITERS,0.5864,9
2020,MONT-ROIG DEL CAMP,ALFALS SIE,0.549,1
2020,MONT-ROIG DEL CAMP,TRITICALE,0.5016,1
2020,MONT-ROIG DEL CAMP,MAGRANER,0.4593,1
2020,MONT-ROIG DEL CAMP,HORTA,0.3875,7
2020,MONT-ROIG DEL CAMP,PRESSEGUERS,0.211,3
2020,MONT-ROIG DEL CAMP,TÒFONA,0.1969,1
2020,MONT-ROIG DEL CAMP,PERERES,0.0592,1
2020,MONT-ROIG DEL CAMP,NESPRER,0.0216,1
2020,MONT-ROIG DEL CAMP,FIGUERA,0.0173,1
2020,MONTBRIO DEL CAMP,OLIVERES,373.9979,289
2020,MONTBRIO DEL CAMP,GUARET NO SIE/ SUP. LLIURE SE*,42.5941,108
2020,MONTBRIO DEL CAMP,VINYES,25.031,22
2020,MONTBRIO DEL CAMP,CIVADA,12.8482,8
2020,MONTBRIO DEL CAMP,JULIVERT,11.3054,4
2020,MONTBRIO DEL CAMP,AMETLLERS,10.184,17
2020,MONTBRIO DEL CAMP,GARROFER,9.6806,26
2020,MONTBRIO DEL CAMP,AVELLANER,7.5518,18
2020,MONTBRIO DEL CAMP,COL I COLIFLOR,6.9426,2
2020,MONTBRIO DEL CAMP,"ENDÍVIA, ESCAROLA I XICOIRA",3.5086,2
2020,MONTBRIO DEL CAMP,GUARET SIE/ SUP. LLIURE SEMBRA,3.1658,9
2020,MONTBRIO DEL CAMP,ORDI,2.0676,1
2020,MONTBRIO DEL CAMP,PATATA,1.5391,2
2020,MONTBRIO DEL CAMP,PRESSEGUERS,1.115,1
2020,MONTBRIO DEL CAMP,VIVER ARBRE I ARBUST,0.5897,2
2020,MONTBRIO DEL CAMP,ENCIAM,0.5273,1
2020,MONTBRIO DEL CAMP,ALTRES FRUITERS,0.4374,7
2020,MONTBRIO DEL CAMP,TARONGER,0.3467,7
2020,MONTBRIO DEL CAMP,HORTA,0.3025,6
2020,MONTBRIO DEL CAMP,PERERES,0.1893,2
2020,MONTBRIO DEL CAMP,CLEMENTINA,0.1736,1
2020,MONTBRIO DEL CAMP,POMERES,0.1077,1
2020,MONTBRIO DEL CAMP,TOMÀQUET,0.1055,1
2020,MONTBRIO DEL CAMP,FAVES I FAVONS NO SIE,0.0908,1
2020,MONTBRIO DEL CAMP,KIWI,0.0632,1
2020,MONTBRIO DEL CAMP,PISTATXER O FESTUC,0.0508,1
2020,PRADES,AVELLANER,162.9775,148
2020,PRADES,GUARET NO SIE/ SUP. LLIURE SE*,32.3195,65
2020,PRADES,VINYES,9.8013,3
2020,PRADES,CIVADA,8.09,6
2020,PRADES,LLÚPOL,7.9569,10
2020,PRADES,PATATA,6.5891,18
