cultiu,seca_regad,ha,parcels
TRÈVOL,R,0.3573,3
PRUNERA,R,21.4846,57
PERERA,S,0.1826,5
PÈSOL,S,12.8757,21
POMERA,R,34.7164,46
POMERA,S,1.4314,7
PORRO,S,0.2607,6
PRESSEGUER,S,3.5332,14
PRUNERA,S,0.605,11
QUINOA,R,9.2564,6
ROMANESCO,R,2.7404,4
SORGO,R,1.9888,5
SORGO,S,10.4347,12
TÒFONA,R,0.3207,3
TREPADELLA,R,0.1596,2
TREPADELLA,S,5.8316,12
VEÇA I BLAT,R,2.8122,3
VEÇA I CIVADA,S,11.5028,5
VEÇA I ORDI,R,3.0128,3
VINYA,S,324.4224,457
COL KALE,R,3.0906,4
CROTALÀRIA,R,4.7088,2
COL GEGANT,R,0.2226,1
NAP,R,3.8393,2
FAVA,S,1.2356,7
VEÇA,S,3.2612,4
NECTARINER,S,0.2516,1
VIVER - PRODUCTOR MVR,S,1.881,8
ALL,S,0.1537,1
ANTARA VINYA,S,1.0142,7
CIVADA I BLAT,S,2.243,1
